Date,Close,High,Low,Open,Volume
4/27/2001,23.54203415,24.2803394,23.21474336,23.9911063,4785200
4/30/2001,23.02446175,23.93782862,23.02446175,23.5420366,3923974
5/1/2001,23.25279999,23.97588272,23.04729203,23.04729203,4180436
5/2/2001,23.78560066,24.2422841,23.36697345,23.36697345,3778104
5/3/2001,23.56487083,23.89977291,23.26802645,23.78560131,4089610
5/4/2001,23.52680969,23.59531087,23.06251363,23.5648659,2957831
5/7/2001,23.5877037,23.72470903,23.1005753,23.52681376,3060720
5/8/2001,23.26041412,23.58009223,23.10818632,23.58009223,2678966
5/9/2001,22.72000694,23.085354,22.72000694,23.085354,3529954
5/10/2001,23.65621185,23.78560596,23.00924425,23.00924425,5179321
5/11/2001,23.80082321,24.12811404,23.49636759,23.65620664,4334820
5/14/2001,23.55725479,24.11288576,23.40502701,23.80081895,2824227
5/15/2001,23.67142868,23.89977187,23.26041419,23.55725856,4712114
5/16/2001,24.40212059,24.73702115,23.0625154,23.67142658,7950431
5/17/2001,24.74463463,25.3078784,24.35645533,24.40212279,9518702
5/18/2001,24.81314087,24.87403082,24.4477938,24.74463673,8055550
5/21/2001,26.09184456,26.34302141,25.49815596,25.49815596,10705018
5/22/2001,26.25930214,26.48764533,25.61994591,26.09185184,6933908
5/23/2001,25.20131493,26.15274082,25.19370368,26.15274082,6140598
5/24/2001,25.34593582,25.82545594,25.19370801,25.20131925,6037304
5/25/2001,24.84358597,25.12520788,24.4782389,25.12520788,6429498
5/29/2001,24.82836342,25.00342497,24.35645746,24.84358591,4457577
5/30/2001,24.18900108,24.69896463,24.09005346,24.69896463,5693969
5/31/2001,24.0672245,24.39451388,23.85410526,24.18900588,5025748
6/1/2001,24.14333534,24.20422676,23.73993063,24.06722144,3542119
6/4/2001,24.0672245,24.16617215,23.75515761,24.14333841,2927015
6/5/2001,23.86171341,24.07483263,23.69426312,24.06722139,3700862
6/6/2001,24.05200195,24.26511973,23.86932768,23.86932768,4085150
6/7/2001,24.47062683,24.66852358,24.00633213,24.05200107,4908971
6/8/2001,24.24228287,24.54673847,23.89215833,24.47062457,2948606
6/11/2001,23.9834919,24.16616464,23.64858991,24.16616464,3151647
6/12/2001,23.96826935,24.15094357,23.35174697,23.9834933,3523467
6/13/2001,23.44308662,23.92260524,23.21474491,23.92260524,3502484
6/14/2001,22.72761536,23.45830938,22.56777631,23.44308542,4397871
6/15/2001,22.60583878,22.6819527,22.27093811,22.6819527,6663153
6/18/2001,22.09587288,22.49166491,21.99692377,22.49166491,6174861
6/19/2001,21.95886803,22.52972161,21.95125678,22.09587336,5340699
6/20/2001,22.26332092,22.48405138,21.54023814,21.95886532,6074404
